actual,prediction,split
97.0,121.06088,evaluation
91.0,98.79016,evaluation
86.0,115.031815,evaluation
123.0,114.68639,evaluation
112.0,123.72954,evaluation
163.0,139.8235,evaluation
161.0,157.88402,evaluation
175.0,157.2505,evaluation
156.0,146.16592,evaluation
182.0,127.376434,evaluation
129.0,109.497505,evaluation
112.0,112.20925,evaluation
107.0,100.87489,evaluation
89.0,81.919464,evaluation
64.0,72.79588,evaluation
64.0,59.48334,evaluation
55.0,57.274673,evaluation
63.0,67.70829,evaluation
78.0,89.39615,evaluation
123.0,151.50633,evaluation
156.0,231.53804,evaluation
173.0,225.92896,evaluation
166.0,218.55702,evaluation
171.0,176.93814,evaluation
175.0,167.9157,evaluation
215.0,153.59988,evaluation
216.0,148.98666,evaluation
157.0,157.87822,evaluation
146.0,147.41698,evaluation
160.0,148.62933,evaluation
143.0,139.34447,evaluation
199.0,189.8882,evaluation
255.0,188.7712,evaluation
232.0,182.07066,evaluation
139.0,137.3448,evaluation
117.0,130.35898,evaluation
101.0,95.15165,evaluation
72.0,71.545746,evaluation
57.0,54.113163,evaluation
51.0,61.405037,evaluation
68.0,69.27943,evaluation
66.0,68.5027,evaluation
75.0,110.5087,evaluation
102.0,166.30916,evaluation
207.0,177.27711,evaluation
233.0,180.67946,evaluation
237.0,210.8929,evaluation
321.0,192.15564,evaluation
284.0,186.78412,evaluation
237.0,202.15524,evaluation
248.0,207.45601,evaluation
254.0,181.44975,evaluation
217.0,197.25044,evaluation
215.0,218.26204,evaluation
212.0,247.73927,evaluation
240.0,316.73132,evaluation
280.0,260.52875,evaluation
256.0,210.6707,evaluation
195.0,126.59381,evaluation
57.0,67.50476,evaluation
40.0,63.087936,evaluation
34.0,50.736965,evaluation
35.0,53.877598,evaluation
48.0,55.529522,evaluation
56.0,70.499695,evaluation
56.0,103.56467,evaluation
96.0,147.65782,evaluation
111.0,212.84915,evaluation
116.0,367.68564,evaluation
160.0,213.06706,evaluation
235.0,273.79767,evaluation
178.0,314.5991,evaluation
161.0,147.42883,evaluation
136.0,150.1335,evaluation
139.0,155.289,evaluation
112.0,124.95215,evaluation
91.0,112.28562,evaluation
106.0,104.72951,evaluation
91.0,101.84521,evaluation
72.0,98.836365,evaluation
66.0,78.11714,evaluation
52.0,57.00131,evaluation
46.0,44.484653,evaluation
35.0,34.937946,evaluation
30.0,35.588406,evaluation
28.0,32.406002,evaluation
23.0,32.76491,evaluation
25.0,24.223042,evaluation
24.0,30.577446,evaluation
69.0,40.0751,evaluation
56.0,43.55034,evaluation
79.0,58.229958,evaluation
57.0,58.82594,evaluation
61.0,56.736973,evaluation
46.0,61.481068,evaluation
51.0,55.487328,evaluation
56.0,62.514423,evaluation
69.0,59.710716,evaluation
66.0,65.94443,evaluation
67.0,64.283104,evaluation
64.0,62.277824,evaluation
68.0,64.821625,evaluation
59.0,69.389114,evaluation
69.0,66.4519,evaluation
55.0,56.594322,evaluation
48.0,50.449265,evaluation
42.0,45.919067,evaluation
38.0,45.08894,evaluation
35.0,31.860708,evaluation
25.0,30.570606,evaluation
25.0,27.576681,evaluation
24.0,24.441547,evaluation
19.0,20.819729,evaluation
34.0,37.648106,evaluation
41.0,44.335987,evaluation
52.0,45.465687,evaluation
45.0,49.331608,evaluation
50.0,41.67814,evaluation
45.0,43.994583,evaluation
48.0,42.63801,evaluation
39.0,39.970047,evaluation
73.0,45.422268,evaluation
41.0,45.861362,evaluation
30.0,39.68478,evaluation
36.0,38.387157,evaluation
92.0,66.83597,evaluation
96.0,82.15576,evaluation
89.0,81.78294,evaluation
68.0,73.546425,evaluation
48.0,51.449856,evaluation
