actual,prediction,split
93.8,59.52648,evaluation
74.25,64.96734,evaluation
72.42,64.32512,evaluation
50.95,63.76565,evaluation
37.02,58.174232,evaluation
34.17,53.19011,evaluation
40.45,52.310646,evaluation
36.05,56.45629,evaluation
30.75,53.155067,evaluation
24.72,50.011814,evaluation
28.98,47.58481,evaluation
25.5,43.111816,evaluation
28.0,43.81026,evaluation
27.95,44.711193,evaluation
24.92,44.25864,evaluation
27.12,45.96251,evaluation
26.9,42.361343,evaluation
29.22,43.813034,evaluation
29.98,44.25668,evaluation
23.52,42.463295,evaluation
22.12,42.272106,evaluation
21.3,43.589188,evaluation
32.1,44.041054,evaluation
39.15,53.749596,evaluation
61.42,57.259075,evaluation
66.55,61.35467,evaluation
59.12,58.90645,evaluation
48.85,55.004486,evaluation
43.52,54.523315,evaluation
37.48,53.602432,evaluation
42.85,51.44659,evaluation
36.75,49.948097,evaluation
31.9,45.25835,evaluation
20.15,44.32286,evaluation
31.55,47.234207,evaluation
31.1,47.45575,evaluation
30.48,47.008995,evaluation
32.57,45.28306,evaluation
44.32,48.109066,evaluation
47.48,53.317795,evaluation
46.28,53.76041,evaluation
30.6,44.85864,evaluation
26.38,39.36609,evaluation
17.38,37.36914,evaluation
18.2,39.91085,evaluation
23.52,40.27227,evaluation
37.1,46.75009,evaluation
79.3,57.36057,evaluation
79.2,58.884243,evaluation
67.88,59.46711,evaluation
59.58,59.885155,evaluation
52.88,56.964138,evaluation
42.1,58.5368,evaluation
40.35,61.02987,evaluation
39.8,58.23733,evaluation
42.6,54.38495,evaluation
42.6,52.065178,evaluation
53.68,49.962017,evaluation
45.45,31.294779,evaluation
54.15,33.70023,evaluation
49.75,43.321045,evaluation
75.95,46.447712,evaluation
92.05,50.430252,evaluation
105.0,60.81136,evaluation
95.12,69.53017,evaluation
81.35,70.21766,evaluation
69.35,69.185394,evaluation
72.38,65.81981,evaluation
56.28,62.46479,evaluation
46.92,60.986084,evaluation
41.9,56.34093,evaluation
27.55,52.135445,evaluation
24.02,50.112247,evaluation
24.25,47.875904,evaluation
32.55,48.78106,evaluation
36.1,49.299606,evaluation
37.38,48.547516,evaluation
41.82,50.738712,evaluation
38.15,51.66941,evaluation
33.3,48.277546,evaluation
22.35,45.005783,evaluation
20.42,38.884445,evaluation
11.2,37.742043,evaluation
9.05,36.676376,evaluation
8.95,36.458755,evaluation
11.52,35.746834,evaluation
18.52,39.602943,evaluation
44.15,47.134285,evaluation
58.03,54.217434,evaluation
70.7,54.75057,evaluation
70.88,57.07838,evaluation
62.92,59.751595,evaluation
66.53,60.19167,evaluation
63.2,57.361008,evaluation
51.98,58.73983,evaluation
33.57,52.47547,evaluation
32.4,46.786617,evaluation
35.7,47.743713,evaluation
40.7,49.533726,evaluation
56.4,56.567886,evaluation
64.4,59.148468,evaluation
55.1,55.417892,evaluation
39.65,53.037483,evaluation
22.9,46.272552,evaluation
12.22,40.4141,evaluation
10.1,36.782436,evaluation
12.05,34.624306,evaluation
13.18,35.37394,evaluation
12.58,36.533463,evaluation
12.95,38.27372,evaluation
26.92,44.999374,evaluation
50.55,52.21453,evaluation
64.45,59.128685,evaluation
49.18,59.079655,evaluation
33.92,53.964867,evaluation
38.98,50.408417,evaluation
35.83,49.005028,evaluation
30.65,47.67933,evaluation
23.4,49.102577,evaluation
23.92,46.209625,evaluation
18.7,46.717617,evaluation
24.65,46.357758,evaluation
32.02,44.200035,evaluation
42.88,47.199535,evaluation
37.08,49.05796,evaluation
32.25,47.926758,evaluation
20.95,43.71387,evaluation
18.92,40.101837,evaluation
13.9,37.77755,evaluation
14.73,38.87809,evaluation
13.98,36.843483,evaluation
14.65,37.866238,evaluation
18.23,39.349575,evaluation
18.62,43.311356,evaluation
41.45,52.30271,evaluation
62.38,60.34448,evaluation
62.62,60.04685,evaluation
63.75,58.446354,evaluation
65.0,57.28364,evaluation
62.05,57.14495,evaluation
54.6,56.90515,evaluation
50.6,55.523544,evaluation
48.75,54.486782,evaluation
39.48,48.62184,evaluation
33.5,51.437927,evaluation
36.58,51.765892,evaluation
49.95,52.05941,evaluation
54.32,48.85523,evaluation
36.38,50.549076,evaluation
29.28,49.383392,evaluation
26.9,46.635384,evaluation
24.7,43.63626,evaluation
24.33,40.939453,evaluation
30.98,40.277203,evaluation
24.22,38.86933,evaluation
26.32,39.542442,evaluation
29.75,40.280006,evaluation
45.85,44.642807,evaluation
86.85,53.855244,evaluation
108.58,64.777626,evaluation
111.82,64.05093,evaluation
124.1,63.93689,evaluation
113.05,66.81903,evaluation
100.52,66.52023,evaluation
84.25,67.04027,evaluation
66.58,65.37643,evaluation
63.25,65.34149,evaluation
71.62,59.76411,evaluation
69.97,56.8832,evaluation
77.55,55.968033,evaluation
72.38,58.05395,evaluation
83.38,57.256844,evaluation
79.1,54.481308,evaluation
80.22,56.352226,evaluation
61.77,56.242935,evaluation
53.0,56.230846,evaluation
34.98,55.330597,evaluation
34.25,48.192234,evaluation
30.78,45.622925,evaluation
36.08,45.23983,evaluation
38.0,43.982727,evaluation
58.5,45.463997,evaluation
99.48,60.42886,evaluation
134.48,65.61573,evaluation
121.32,70.695206,evaluation
106.48,69.75702,evaluation
86.4,68.72511,evaluation
65.7,67.12407,evaluation
50.78,67.633514,evaluation
51.82,67.7344,evaluation
45.5,63.661663,evaluation
54.65,66.39812,evaluation
51.7,64.637856,evaluation
55.55,63.440025,evaluation
50.88,61.73571,evaluation
58.38,59.277252,evaluation
86.35,61.39538,evaluation
107.9,65.59294,evaluation
97.35,64.601654,evaluation
82.4,56.282516,evaluation
61.15,49.96314,evaluation
39.22,48.802353,evaluation
31.28,44.934803,evaluation
33.1,43.119965,evaluation
46.15,44.29975,evaluation
