neighbor__124,neighbor__1421,neighbor__1426
45.85,17.77,28.62
48.68,18.85,29.33
52.35,18.6,26.3
57.55,29.2,24.0
62.4,25.08,20.98
60.25,24.98,23.92
53.7,31.95,26.6
51.22,31.3,25.32
50.25,28.8,24.5
46.58,25.78,22.4
49.05,24.25,23.72
43.0,31.55,24.08
51.4,42.5,24.2
50.78,45.48,33.83
71.53,50.28,47.35
81.2,44.7,44.62
74.53,31.55,46.18
69.25,28.68,44.18
65.65,38.97,42.78
67.45,35.83,40.62
75.62,29.92,39.33
72.47,28.22,35.25
69.38,33.4,30.05
64.2,28.7,25.92
55.65,25.45,26.12
57.45,24.6,25.98
62.0,18.5,26.38
55.2,27.15,26.78
55.55,28.58,27.68
52.53,20.12,28.08
48.25,20.72,28.4
47.9,20.3,25.22
53.18,25.7,24.85
59.03,27.83,34.4
87.62,37.97,69.8
110.07,59.4,80.92
64.18,18.92,83.95
47.05,17.5,92.15
31.3,18.73,80.18
35.15,14.3,96.6
45.62,19.83,97.1
65.32,17.62,74.62
72.2,15.35,93.45
79.25,19.77,94.82
93.57,23.35,60.85
105.45,26.95,58.98
82.2,31.5,60.0
75.1,29.95,69.1
75.82,25.78,68.78
76.28,40.47,58.1
72.05,35.03,64.28
62.65,27.7,67.85
51.18,26.28,54.3
35.58,27.12,48.5
32.88,26.05,61.2
34.55,25.65,56.35
42.32,28.72,48.65
58.58,34.35,45.0
83.88,38.6,49.5
64.6,26.72,51.18
61.95,23.7,82.9
72.75,26.22,33.8
68.65,31.42,33.48
71.15,27.55,32.98
92.02,44.05,46.42
110.68,55.68,49.05
137.7,104.5,115.75
145.5,105.32,132.1
155.88,94.28,155.22
137.93,90.82,148.15
123.82,84.05,99.35
134.85,66.88,85.3
103.2,56.03,78.82
80.68,52.53,77.0
64.03,50.8,65.53
67.72,46.7,58.75
68.22,36.4,53.98
72.8,39.75,42.78
77.7,40.5,36.15
83.55,37.2,35.98
91.0,43.2,37.22
99.78,37.62,32.22
96.28,26.33,43.78
87.3,22.58,36.6
80.4,25.62,24.55
91.18,32.9,38.08
87.98,32.33,55.7
93.7,28.22,64.62
89.22,27.55,52.95
83.45,26.75,44.95
84.98,41.98,52.8
75.78,36.35,67.38
76.2,29.12,76.82
77.25,23.6,71.75
76.88,24.1,66.05
77.62,30.62,59.3
68.8,27.68,47.55
64.22,34.5,39.95
59.8,33.78,41.0
65.03,33.52,39.08
65.05,40.33,43.6
62.62,35.2,67.75
85.15,27.45,59.0
80.35,21.25,65.5
70.72,13.77,61.85
60.68,10.07,91.65
61.1,9.75,55.38
64.4,11.75,42.25
83.02,11.12,41.62
91.48,26.98,55.35
97.4,49.62,76.5
98.98,67.5,87.28
101.5,74.88,88.02
102.42,66.1,86.12
92.0,62.7,89.58
86.05,64.5,80.75
97.62,54.72,54.63
85.15,53.1,28.28
51.82,23.92,21.85
41.65,16.6,20.15
45.05,16.1,21.12
48.92,21.22,21.4
51.22,22.08,22.35
58.18,24.85,18.88
51.52,21.32,17.95
47.75,16.32,16.27
45.55,16.77,16.42
42.88,17.45,18.1
44.48,18.1,18.4
46.65,16.42,19.75
47.68,16.0,20.7
63.15,37.95,33.12
59.7,29.67,28.45
57.5,24.45,22.28
54.25,17.95,20.35
51.9,14.15,20.38
44.05,16.05,23.25
48.58,18.32,25.28
48.38,20.52,24.95
54.88,21.55,25.12
61.88,27.3,27.95
72.2,41.47,49.2
98.88,70.03,55.68
103.02,78.18,66.15
98.58,71.62,67.25
102.3,64.0,60.78
96.5,57.65,35.65
96.82,43.8,37.7
87.82,48.88,43.1
80.12,44.55,46.25
78.57,50.68,38.83
78.9,45.68,38.03
81.45,45.12,41.35
82.95,37.85,33.1
81.65,39.35,26.38
73.38,36.38,24.18
64.45,30.35,21.25
53.0,26.18,21.78
51.65,19.05,23.72
50.3,23.2,24.38
52.4,24.82,23.5
65.78,33.67,35.53
95.7,41.68,62.8
120.95,85.38,76.38
81.42,61.95,74.1
